Dish Name,Price,description,Tag
"Voosh Paneer Premium Thali with Sweet, Butter Milk",₹209,"Enjoy a wholesome thali meal with paneer masala, dry veggie of the day, dal tadka, 2 phulkas, rice, sweet, butter milk. Amazing for one.",MUST TRY
"2 Gobhi Paratha, Curd & Pickle Meal",₹134,"2 gobhi parathas, curd, sweet, salad and pickle. Amazing for one.",MUST TRY
Aloo Gobhi,₹126,A dry north Indian sabzi with aloo gobhi tossed in basic Indian spices with a splash of fresh aromatic coriander. Serves 1 with full satisfaction.,MUST TRY
Homely Bhindi Masala Thali with Sweet,₹144,"Enjoy a delicious meal with bhindi masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one.",MUST TRY
Homely Paneer Masala Thali with Sweet,₹144,"Enjoy a delicious meal with paneer masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one.",MUST TRY
"2 Paneer Paratha, Curd & Pickle Meal",₹144,"2 paneer parathas, curd, sweet, salad and pickle. Amazing for one.",MUST TRY
Set of Chapatis (4 - Chapatis),₹79,"Wheat chapattis - soft, fluffy and cooked to perfection.",MUST TRY
Voosh Variety Thali with a Sweet & Butter Milk,₹199,"Treat yourself with delicious bhindi Masala, aloo gobhi, dal tadka, 2 phulka, rice ,sweet, butter milk. Amazing for one.",MUST TRY
Homely Dal Tadka Thali with Sweet,₹144,"Enjoy a delicious meal with dal tadka, dry veggie of the day, 2 phulkas, rice, raita and sweet. Amazing for one.",MUST TRY
Homely Aloo Gobhi Thali with Sweet,₹144,"Enjoy a delicious meal with aloo gobhi, dal tadka, 2 phulkas, rice, sweet. Amazing for one.",MUST TRY
"Voosh Paneer Premium Thali with Sweet, Butter Milk",₹209,"Enjoy a wholesome thali meal with paneer masala, dry veggie of the day, dal tadka, 2 phulkas, rice, sweet, butter milk. Amazing for one.",No Tag
Voosh Paratha Platter with Butter Milk,₹219,"Enjoy a delicious meal of paneer paratha(1 piece), aloo paratha(1 piece), paneer masala, sweet, butter milk, salad or pickle. Amazing for one.",No Tag
Homely Bhindi Masala Thali with Sweet,₹144,"Enjoy a delicious meal with bhindi masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one.",No Tag
Homely Dal Tadka Thali with Sweet,₹144,"Enjoy a delicious meal with dal tadka, dry veggie of the day, 2 phulkas, rice, raita and sweet. Amazing for one.",No Tag
Homely Aloo Gobhi Thali with Sweet,₹144,"Enjoy a delicious meal with aloo gobhi, dal tadka, 2 phulkas, rice, sweet. Amazing for one.",No Tag
Homely Paneer Masala Thali with Sweet,₹144,"Enjoy a delicious meal with paneer masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one.",No Tag
Voosh Variety Thali with a Sweet & Butter Milk,₹199,"Treat yourself with delicious bhindi Masala, aloo gobhi, dal tadka, 2 phulka, rice ,sweet, butter milk. Amazing for one.",No Tag
"Voosh Paneer Premium Thali with Sweet, Butter Milk",₹209,"Enjoy a wholesome thali meal with paneer masala, dry veggie of the day, dal tadka, 2 phulkas, rice, sweet, butter milk. Amazing for one.",No Tag
"2 Gobhi Paratha, Curd & Pickle Meal",₹134,"2 gobhi parathas, curd, sweet, salad and pickle. Amazing for one.",No Tag
"2 Paneer Paratha, Curd & Pickle Meal",₹144,"2 paneer parathas, curd, sweet, salad and pickle. Amazing for one.",No Tag
Voosh Paratha Platter with Butter Milk,₹219,"Enjoy a delicious meal of paneer paratha(1 piece), aloo paratha(1 piece), paneer masala, sweet, butter milk, salad or pickle. Amazing for one.",No Tag
Homely Bhindi Masala Thalis with Sweet,₹144,"Enjoy a delicious meal with bhindi masala, dal tadka, 2 phulkas, rice and sweet. Amazing for one.",No Tag
Dal Tadka Rice Bowl with Butter Milk,₹134,Yummy bowl of dal tadka with steamy hot rice and a refreshing bottle of buttermilk. Amazing for one.,No Tag
Paneer Rice Bowl with a Butter Milk,₹219,Yummy bowl of paneer masala with steamy hot rice and a refreshing bottle of buttermilk. Amazing for one.,No Tag
Voosh Family Meal For 2 with 2 Buttermilk,₹309,"Paneer masala(250 ml), dry veggie(250 ml), dal tadka(250 ml), 4 phulkas, rice, 2 sweet of the day and 2 butter milk. Amazing for two.",No Tag
Bhindi Masala,₹116,A semi dry sabzi with bhindi cooked in a traditional onion tomato gravy. Serves 1 with full satisfaction.,No Tag
Aloo Gobhi,₹126,A dry north Indian sabzi with aloo gobhi tossed in basic Indian spices with a splash of fresh aromatic coriander. Serves 1 with full satisfaction.,No Tag
Paneer Massala,₹132,Fresh paneer tossed in vooshified onion tomato gravy with rich Indian spices and coriander leaves. Serves 1 with full satisfaction!,No Tag
Set of Chapatis (4 - Chapatis),₹79,"Wheat chapattis - soft, fluffy and cooked to perfection.",No Tag
Steamed Rice,₹69,"Fresh, aromatic and steamy hot.",No Tag
Raita,₹59,Freshly made with crispy cucumber garnishing.,No Tag
Salad,₹59,"Fresh carrot, cucumber, tomato and aromatic coriander garnishing.",No Tag
Sweet of the Day (1 Piece),₹69,Fun fact-The idea of having a dessert at the end of a meal goes back to the Romans.,No Tag
Butter Milk(300 ml),₹69,Refreshing butter milk prepared out of quality curd and Indian spices added to enhance the taste.,No Tag
